Tempo di volo. Can 1 e 2. CALIBRAZIONE 70 NUOVO
Tempo ( s )	Tempo trascorso ( s )
0.0542	0.00413800
0.1043	0.00413600
0.1544	0.00413700
0.2045	0.00413800
0.2546	0.00413600
0.3047	0.00413700
0.3548	0.00413600
0.4049	0.00413700
0.4550	0.00413800
0.5051	0.00413600
0.5552	0.00413700
0.6053	0.00413600
0.6554	0.00413700
0.7055	0.00413800
0.7556	0.00413600
0.8057	0.00413700
0.8558	0.00413600
0.9059	0.00413700
0.9560	0.00413800
1.0061	0.00413600
1.0562	0.00413700
1.1063	0.00413800
1.1564	0.00413700
1.2065	0.00413800
1.2566	0.00413600
1.3067	0.00413700
1.3568	0.00413600
1.4069	0.00413700
1.4570	0.00413800
1.5071	0.00413600
1.5572	0.00413700
1.6073	0.00413800
1.6574	0.00413700
1.7075	0.00413800
1.7576	0.00413600
1.8077	0.00413700
1.8578	0.00413600
1.9079	0.00413700
1.9580	0.00413800
2.0081	0.00413600
2.0582	0.00413700
2.1083	0.00413800
2.1584	0.00413700
2.2085	0.00413800
2.2586	0.00413600
2.3087	0.00413700
2.3588	0.00413600
2.4089	0.00413700
2.4590	0.00413800
2.5091	0.00413600
2.5592	0.00413800
2.6093	0.00413900
2.6594	0.00413700
2.7095	0.00413800
2.7596	0.00413700
2.8097	0.00413800
2.8598	0.00413700
2.9099	0.00413800
2.9600	0.00413900
3.0101	0.00413700
3.0602	0.00413900
3.1103	0.00414000
3.1604	0.00413800
3.2105	0.00413900
3.2606	0.00413800
3.3107	0.00413900
3.3608	0.00413800
3.4109	0.00413800
3.4610	0.00414000
3.5111	0.00413800
3.5612	0.00413900
3.6113	0.00414000
3.6614	0.00413800
3.7115	0.00413900
3.7616	0.00413800
3.8117	0.00413900
3.8618	0.00413700
3.9119	0.00413800
3.9620	0.00413900
4.0121	0.00413800
4.0622	0.00413900
4.1123	0.00414000
4.1624	0.00413800
4.2125	0.00413900
4.2626	0.00413800
4.3127	0.00413900
4.3628	0.00413800
4.4129	0.00413900
4.4630	0.00414000
4.5131	0.00413800
4.5632	0.00414000
4.6133	0.00413800
4.6634	0.00413900
4.7135	0.00414000
4.7636	0.00413900
4.8137	0.00413900
4.8638	0.00413800
4.9139	0.00413900
4.9640	0.00414000
5.0141	0.00413800
5.0642	0.00413900
5.1143	0.00413700
5.1644	0.00413800
5.2145	0.00413900
5.2646	0.00413700
5.3147	0.00413800
5.3648	0.00413700
5.4149	0.00413800
5.4650	0.00413900
5.5151	0.00413700
5.5652	0.00413900
5.6153	0.00413700
5.6654	0.00413800
5.7155	0.00413900
5.7656	0.00413800
5.8157	0.00413900
5.8658	0.00413800
5.9159	0.00413900
5.9660	0.00414000
6.0161	0.00413900
6.0662	0.00414000
6.1163	0.00413900
6.1664	0.00414000
6.2165	0.00414100
6.2666	0.00414000
6.3167	0.00414100
6.3668	0.00413900
6.4169	0.00414000
6.4670	0.00414200
6.5171	0.00414000
6.5672	0.00414100
6.6173	0.00414000
6.6674	0.00414100
6.7175	0.00414100
6.7676	0.00414000
6.8177	0.00414100
6.8678	0.00413900
6.9179	0.00414000
6.9680	0.00414100
7.0181	0.00413900
7.0682	0.00414000
7.1183	0.00413800
7.1684	0.00414000
7.2185	0.00414100
7.2686	0.00413900
7.3187	0.00414000
7.3688	0.00413900
7.4189	0.00414000
7.4690	0.00414100
7.5191	0.00413900
7.5692	0.00414000
7.6193	0.00413900
7.6694	0.00414000
7.7195	0.00414000
7.7696	0.00413900
7.8197	0.00414000
7.8698	0.00413800
7.9199	0.00413900
7.9700	0.00414000
8.0201	0.00413800
8.0702	0.00413900
8.1203	0.00413800
8.1704	0.00413900
8.2205	0.00413900
8.2706	0.00413800
8.3207	0.00413900
8.3708	0.00413800
8.4209	0.00413800
8.4710	0.00413700
8.5211	0.00413800
8.5712	0.00413900
8.6213	0.00413700
8.6714	0.00413800
8.7215	0.00413900
8.7716	0.00413800
8.8217	0.00413900
8.8718	0.00413800
8.9219	0.00413900
8.9720	0.00413700
9.0221	0.00413800
9.0722	0.00413900
9.1223	0.00413800
9.1724	0.00413900
9.2225	0.00413700
9.2726	0.00413800
9.3227	0.00413900
9.3728	0.00413700
9.4229	0.00413800
9.4730	0.00413600
9.5231	0.00413700
9.5732	0.00413800
9.6233	0.00413700
9.6734	0.00413800
9.7235	0.00413600
9.7736	0.00413700
9.8237	0.00413800
9.8738	0.00413600
9.9239	0.00413700
9.9740	0.00413600
10.0241	0.00413600
10.0742	0.00413700
10.1243	0.00413600
10.1744	0.00413700
10.2245	0.00413500
10.2746	0.00413600
10.3247	0.00413700
10.3748	0.00413600
