Tempo di volo. Can 1 e 2. CALIBRAZIONE 150 NUOVO
Tempo ( s )	Tempo trascorso ( s )
0.0588	0.00875900
0.1089	0.00875900
0.1590	0.00875800
0.2091	0.00875800
0.2592	0.00875700
0.3093	0.00875800
0.3594	0.00875700
0.4095	0.00875700
0.4596	0.00875800
0.5097	0.00875700
0.5598	0.00875800
0.6099	0.00875900
0.6600	0.00875800
0.7101	0.00875900
0.7602	0.00875700
0.8103	0.00875800
0.8604	0.00875700
0.9105	0.00875800
0.9606	0.00875900
1.0107	0.00875700
1.0608	0.00875900
1.1109	0.00875900
1.1610	0.00875800
1.2111	0.00875900
1.2612	0.00875800
1.3113	0.00875800
1.3614	0.00875700
1.4115	0.00875800
1.4616	0.00875900
1.5117	0.00875800
1.5618	0.00875900
1.6119	0.00875900
1.6620	0.00875800
1.7121	0.00875900
1.7622	0.00875800
1.8123	0.00875800
1.8624	0.00875700
1.9125	0.00875800
1.9626	0.00875900
2.0127	0.00875700
2.0628	0.00875900
2.1129	0.00875700
2.1630	0.00875800
2.2131	0.00875900
2.2632	0.00875800
2.3133	0.00875800
2.3634	0.00875700
2.4135	0.00875800
2.4636	0.00875900
2.5137	0.00875700
2.5638	0.00875900
2.6139	0.00875700
2.6640	0.00875800
2.7141	0.00875900
2.7642	0.00875800
2.8143	0.00875900
2.8644	0.00875700
2.9145	0.00875800
2.9646	0.00875900
3.0147	0.00875700
3.0648	0.00875900
3.1149	0.00875700
3.1650	0.00875800
3.2151	0.00875900
3.2652	0.00875700
3.3153	0.00875800
3.3654	0.00875700
3.4155	0.00875800
3.4656	0.00875900
3.5157	0.00875700
3.5658	0.00875800
3.6159	0.00875700
3.6660	0.00875800
3.7161	0.00875800
3.7662	0.00875700
3.8163	0.00875800
3.8664	0.00875600
3.9165	0.00875700
3.9666	0.00875800
4.0167	0.00875700
4.0668	0.00875800
4.1169	0.00875600
4.1670	0.00875700
4.2171	0.00875800
4.2672	0.00875700
4.3173	0.00875700
4.3674	0.00875600
4.4175	0.00875700
4.4676	0.00875800
4.5177	0.00875600
4.5678	0.00875700
4.6179	0.00875600
4.6680	0.00875700
4.7181	0.00875800
4.7682	0.00875600
4.8183	0.00875700
4.8684	0.00875600
4.9185	0.00875700
4.9686	0.00875500
5.0187	0.00875600
5.0688	0.00875700
5.1189	0.00875600
5.1690	0.00875700
5.2191	0.00875700
5.2692	0.00875600
5.3193	0.00875700
5.3694	0.00875600
5.4195	0.00875700
5.4696	0.00875500
5.5197	0.00875600
5.5698	0.00875700
5.6199	0.00875600
5.6700	0.00875700
5.7201	0.00875500
5.7702	0.00875600
5.8203	0.00875700
5.8704	0.00875600
5.9205	0.00875700
5.9706	0.00875500
6.0207	0.00875600
6.0708	0.00875700
6.1209	0.00875600
6.1710	0.00875700
6.2211	0.00875500
6.2712	0.00875600
6.3213	0.00875700
6.3714	0.00875600
6.4215	0.00875700
6.4716	0.00875500
6.5217	0.00875600
6.5718	0.00875700
6.6219	0.00875600
6.6720	0.00875700
6.7221	0.00875500
6.7722	0.00875600
6.8223	0.00875700
6.8724	0.00875500
6.9225	0.00875600
6.9726	0.00875500
7.0227	0.00875600
7.0728	0.00875700
7.1229	0.00875500
7.1730	0.00875600
7.2231	0.00875400
7.2732	0.00875500
7.3233	0.00875600
7.3734	0.00875500
7.4235	0.00875600
7.4736	0.00875400
7.5237	0.00875500
7.5738	0.00875400
7.6239	0.00875400
7.6740	0.00875600
7.7241	0.00875400
7.7742	0.00875500
7.8243	0.00875300
7.8744	0.00875400
7.9245	0.00875500
7.9746	0.00875400
8.0247	0.00875500
8.0748	0.00875300
8.1249	0.00875400
8.1750	0.00875500
8.2251	0.00875400
8.2752	0.00875500
8.3253	0.00875300
8.3754	0.00875400
8.4255	0.00875500
8.4756	0.00875400
8.5257	0.00875500
8.5758	0.00875300
8.6259	0.00875400
8.6760	0.00875500
8.7261	0.00875300
8.7762	0.00875500
8.8263	0.00875300
8.8764	0.00875400
8.9265	0.00875500
8.9766	0.00875400
9.0267	0.00875400
9.0768	0.00875300
9.1269	0.00875400
9.1770	0.00875300
9.2271	0.00875400
9.2772	0.00875500
9.3273	0.00875300
9.3774	0.00875400
9.4275	0.00875500
9.4776	0.00875400
9.5277	0.00875500
9.5778	0.00875300
9.6279	0.00875400
9.6780	0.00875300
9.7281	0.00875400
9.7782	0.00875500
9.8283	0.00875300
9.8784	0.00875400
9.9285	0.00875200
9.9786	0.00875400
10.0287	0.00875400
10.0788	0.00875300
10.1289	0.00875400
10.1790	0.00875300
10.2291	0.00875300
10.2792	0.00875400
10.3293	0.00875300
10.3794	0.00875400
